1|1|Male|1
2|1|Female|2
3|1|Transgender|3
4|1|Other|4
5|2|African American (black)|1
6|2|American Indian|2
7|2|Caucasian (white)|3
8|2|Chinese|4
9|2|East Indian|5
10|2|Filipino|6
11|2|Hispanic/Latino|7
12|2|Japanese|8
13|2|Korean|9
14|2|Middle Eastern|10
15|2|Native American|11
16|2|Native Hawaiian|12
17|2|Pacific Islander|13
18|2|Samoan|14
19|2|Thai|15
20|2|Vietnamese|16
21|2|Other Asian|17
22|2|Other|18
23|3|Alone|1
24|3|With kids|2
25|3|With parents|3
26|3|With pets|4
27|3|With roommate(s)|5
28|4|No|1
29|4|Socially|2
30|4|Daily|3
31|4|A few times a week|4
32|4|A few times a Month|5
33|5|Full-time|1
34|5|Part-time|2
35|5|Homemaker|3
36|5|Retired|4
37|5|Self-employed|5
38|5|Student|6
39|5|Unemployed|7
40|5|Work at home|8
41|6|Some High SChool|1
42|6|High School Graduate|2
43|6|Some Collage|3
44|6|Collage Graduate|4
45|6|Technical/Trade School|5
46|6|Post-Graduate|6
47|7|No|1
48|7|Yes: at home full-time|2
49|7|Yes: at home part-time|3
50|7|Yes: not at home|4
51|8|No|1
52|8|Yes|2
53|8|Maybe|3
54|9|Slim|1
55|9|Average|2
56|9|Athletic|3
57|9|Fit|4
58|9|Thick|5
59|9|A few extra pounds|6
60|9|Large|7
61|9|Voluptuous|8
62|10|Black|1
63|10|Blue|2
64|10|Brown|3
65|10|Gray|4
66|10|Green|5
67|10|Hazel|6
68|10|Blodshot|7
69|10|Auburn|8
70|11|Auburn|1
71|11|Black|2
72|11|Blonde|3
73|11|Dirty Blond|4
74|11|Light Brown|5
75|11|Dark Brown|6
76|11|Red|7
77|11|White/gray|8
78|11|Bald|9
79|11|A little gray|10
80|12|Single|1
81|12|Divorced|2
82|12|Widowed|3
83|12|Seperated|4
84|12|It's Complicated|5
85|13|Artistic / Musical / Writer|1
86|13|Banking / Financial Services|2
87|13|Real Estate|3
88|13|Clerical / Administrative|4
89|13|Computer related / Hardware|5
90|13|Computer related / Software|6
91|13|Computer related / Design|7
92|13|Construction / Craftsman|8
93|13|Construction / Craftsman|9
94|13|Education / Academic Research|10
95|13|Entertainment / Media|11
96|13|Executive / Management|12
97|13|Hospitality / Travel|13
98|13|Legal Services|14
99|13|Manufacturing / Distributions|15
100|13|Medical / Health Services|16
101|13|Politics / Government / Military|17
102|13|Sales / Marketing|18
103|13|Technical / Science / Engineering|19
104|13|Transportation|20
105|13|Food Service|21
106|13|Other|22
107|14|Less than $25,000|1
108|14|$35,000|2
109|14|$50,000|3
110|14|$75,000|4
111|14|$100,000|5
112|14|$150.000|6
113|14|More than $200,000|7
114|15|No|1
115|15|Socially|2
116|15|Daily|3
117|16|Buddhist|1
118|16|Taoist|2
119|16|Christian|3
120|16|Christian / Protestant|4
121|16|Christian / Catholic|5
122|16|Christian / LDS|6
123|16|Christian / Other|7
124|16|Hindu|8
125|16|Jewish|9
126|16|Jewish Orthidox|10
127|16|Islam|11
128|16|None/Agnostic|12
129|16|Atheist|13
130|16|Not Religious|14
131|16|Satinist|15
132|16|Spiritual but not religious|16
133|16|Scientology|17
134|16|Pagen|18
135|16|Wiccan|19
136|16|Other|20
137|17|Very conservative|1
138|17|Conservative|2
139|17|Middle of the road|3
140|17|Liberal|4
141|17|Very liberal|5
142|17|Not political|6
143|18|English|1
144|18|French|2
145|18|German|3
146|18|Italian|4
147|18|Spanish|5
148|18|Portuguese|6
149|18|Dutch|7
150|18|Chinese|8
151|18|Japanese|9
152|18|Arabic|10
153|18|Russian|11
154|18|Hebrew|12
155|18|Hindi|13
156|18|Tagalog|14
157|18|Urdu|15
